project_code,sector,contractor,cost_original,cost_revised,duration_months,elapsed_months,planned_progress,actual_progress,payment_delay_days,subcontracting_depth,land_clearance_status,design_scope_change_count,billing_progress_mismatch_pct,is_cost_overrun,is_time_overrun,risk_score
RW-1029,Railways,NCC Infrastructure,1315.2,1323.1,60,12,17.5,17.5,12.7,0,Clear,1,-4.1,0,0,15
NH-1030,Roads,Himalayan Infra Engineering,836.6,957.7,42,29,75.4,50.1,32.8,2,Disputed,2,2.1,1,1,95
PW-1031,Power,Larsen & Toubro Infra,1282.3,1324.8,42,25,58.5,52.7,10.9,0,Clear,0,3.5,0,0,34
BR-1032,Bridges,Ganga Construction Co.,625.5,655.2,60,38,58.7,49.1,26.8,1,Clear,0,6.1,0,0,51
PW-1033,Power,Dilip Buildcon Ltd.,863.1,1069.9,30,23,81.8,45.6,129.5,2,Pending,5,15.2,1,1,95
RW-1034,Railways,Omkar Roadways Ltd.,1349.4,1393.7,36,30,84.2,68.1,60.4,2,Pending,0,9.7,0,1,73
RW-1035,Railways,Himalayan Infra Engineering,845.7,845.7,30,26,83.9,83.9,26.7,0,Clear,0,-0.4,0,0,14
NH-1036,Roads,Tata Projects Ltd.,608.2,639.6,18,10,51.0,41.3,98.7,0,Clear,0,2.8,0,0,52
NH-1037,Roads,Desert Sun Powergrid JV,541.9,579.0,18,6,28.6,11.1,139.0,1,Pending,0,11.9,0,1,84
NH-1038,Roads,Bharat Rail Consortium,1192.3,1353.6,36,12,34.3,21.6,21.8,1,Pending,1,12.0,1,1,81
BR-1039,Bridges,Bharat Rail Consortium,483.0,489.2,36,16,39.3,30.5,108.6,0,Clear,0,-0.9,0,0,41
NH-1040,Roads,Eastern Rail Infra Pvt. Ltd.,1015.5,1125.1,60,33,54.7,31.9,131.2,1,Pending,1,3.1,1,1,91
BR-1041,Bridges,Larsen & Toubro Infra,357.9,367.7,24,13,55.9,54.0,11.3,0,Clear,0,-0.7,0,0,25
BR-1042,Bridges,Vindhya Powergrid Ltd.,1240.3,1319.2,48,36,76.1,66.6,33.3,2,Clear,0,8.8,0,1,59
RW-1043,Railways,Afcons Infrastructure,855.9,884.3,36,16,42.4,30.7,86.2,2,Clear,0,-0.4,0,0,58
NH-1044,Roads,Larsen & Toubro Infra,969.5,1021.8,24,14,51.4,40.8,18.3,1,Pending,0,4.9,0,0,57
PW-1045,Power,Omkar Roadways Ltd.,437.0,474.9,18,11,58.1,32.4,137.1,0,Disputed,0,7.8,1,1,95
RW-1046,Railways,Tata Projects Ltd.,728.8,781.3,36,23,62.5,48.8,145.7,0,Clear,1,5.7,0,1,72
RW-1047,Railways,Himalayan Infra Engineering,755.8,802.0,48,34,73.8,68.6,24.4,1,Clear,2,0.5,0,0,42
BR-1048,Bridges,Ganga Construction Co.,1294.9,1433.9,42,27,61.2,40.2,20.4,2,Disputed,1,11.8,1,1,95
PW-1049,Power,Dilip Buildcon Ltd.,717.9,725.3,48,21,40.0,36.3,25.8,0,Pending,0,-1.6,0,0,28
BR-1050,Bridges,Apex Bullet Infra Ltd.,385.4,409.5,30,16,46.7,23.2,84.7,2,Pending,0,9.1,0,1,95
BR-1051,Bridges,Afcons Infrastructure,617.1,657.7,48,22,43.8,35.3,26.1,1,Clear,0,9.2,0,0,49
NH-1052,Roads,Dilip Buildcon Ltd.,1021.9,1234.6,36,26,67.0,33.6,148.8,1,Disputed,5,-2.6,1,1,95
RW-1053,Railways,Ganga Construction Co.,335.0,342.7,42,18,47.6,46.1,19.5,1,Clear,1,10.6,0,0,37
PW-1054,Power,Dilip Buildcon Ltd.,613.7,642.5,60,32,53.5,45.3,22.1,1,Pending,2,-1.1,0,0,51
NH-1055,Roads,Apex Bullet Infra Ltd.,564.0,654.2,48,12,22.1,7.1,16.9,1,Pending,3,6.2,1,1,84
NH-1056,Roads,Apex Bullet Infra Ltd.,622.6,648.3,30,13,46.7,34.7,64.4,0,Pending,0,1.0,0,1,53
RW-1057,Railways,Dilip Buildcon Ltd.,1680.4,1736.1,36,12,31.3,24.8,16.6,1,Clear,1,-2.6,0,0,36
NH-1058,Roads,Larsen & Toubro Infra,1431.4,1519.7,30,6,19.0,11.8,10.1,2,Clear,0,12.4,0,0,61
NH-1059,Roads,Vindhya Powergrid Ltd.,971.5,1016.7,36,24,69.8,48.1,139.9,1,Pending,0,3.6,0,1,90
NH-1060,Roads,NCC Infrastructure,439.1,489.3,60,54,93.7,82.3,31.6,2,Clear,3,8.4,1,1,71
NH-1061,Roads,Ganga Construction Co.,233.1,249.9,36,29,83.2,71.4,26.5,1,Pending,1,4.0,0,1,59
NH-1062,Roads,Apex Bullet Infra Ltd.,980.4,1066.2,60,26,43.2,29.3,87.2,1,Pending,3,-2.6,1,1,74
NH-1063,Roads,Patel Engineering,1010.7,1042.3,36,13,35.8,35.4,49.7,0,Clear,0,4.5,0,0,30
PW-1064,Power,Eastern Rail Infra Pvt. Ltd.,775.0,792.3,36,12,34.9,30.0,15.5,0,Pending,0,8.4,0,0,42
RW-1065,Railways,Dilip Buildcon Ltd.,1285.3,1295.5,48,40,85.9,81.2,19.8,0,Pending,0,4.3,0,0,37
NH-1066,Roads,Dilip Buildcon Ltd.,1052.7,1200.9,18,6,29.8,11.2,53.0,2,Pending,1,13.4,1,1,93
BR-1067,Bridges,Apex Bullet Infra Ltd.,771.9,815.4,24,7,32.8,20.1,18.4,0,Disputed,0,-2.2,0,1,57
NH-1068,Roads,Himalayan Infra Engineering,796.8,809.8,36,27,75.1,75.1,14.8,0,Clear,1,0.7,0,0,19
NH-1069,Roads,Omkar Roadways Ltd.,690.0,767.0,48,11,24.0,11.2,117.2,0,Clear,2,2.6,1,1,67
NH-1070,Roads,Tata Projects Ltd.,1643.0,1734.9,30,6,18.0,6.7,84.0,2,Clear,0,7.5,0,0,68
RW-1071,Railways,Himalayan Infra Engineering,1160.1,1206.1,60,16,31.0,21.4,33.6,1,Pending,0,9.0,0,0,54
NH-1072,Roads,Omkar Roadways Ltd.,896.6,972.3,36,10,32.9,26.9,12.3,0,Pending,1,4.3,1,0,52
NH-1073,Roads,Omkar Roadways Ltd.,707.2,707.2,36,13,32.2,28.5,77.6,1,Clear,0,3.0,0,0,38
RW-1074,Railways,Larsen & Toubro Infra,1077.2,1130.9,24,15,63.2,58.3,22.1,0,Clear,2,6.6,0,0,39
PW-1075,Power,Bharat Rail Consortium,1099.0,1218.8,24,6,25.2,0.0,119.2,0,Disputed,0,10.2,1,1,95
RW-1076,Railways,Patel Engineering,619.2,664.6,36,23,70.0,54.8,95.5,0,Clear,1,4.9,0,1,72
RW-1077,Railways,Afcons Infrastructure,904.4,1031.9,30,18,57.7,32.8,69.0,2,Disputed,2,10.8,1,1,95
PW-1078,Power,NCC Infrastructure,1164.6,1257.4,36,28,75.6,69.5,23.6,1,Pending,0,12.1,1,0,60
RW-1079,Railways,Afcons Infrastructure,1016.8,1056.9,36,24,66.1,47.2,58.8,1,Disputed,0,6.5,0,1,79
PW-1080,Power,NCC Infrastructure,1370.5,1423.6,18,12,72.6,61.9,20.0,2,Clear,1,0.7,0,0,45
PW-1081,Power,Dilip Buildcon Ltd.,745.0,777.1,42,21,45.6,36.8,25.4,1,Clear,0,3.6,0,0,44
BR-1082,Bridges,NCC Infrastructure,1392.8,1464.1,60,15,31.8,23.7,11.3,1,Clear,0,12.7,0,0,47
RW-1083,Railways,Patel Engineering,765.8,773.9,30,17,57.6,55.8,26.7,0,Clear,0,-2.2,0,0,19
BR-1084,Bridges,Ganga Construction Co.,687.7,757.4,42,35,84.1,58.1,56.9,1,Disputed,1,8.8,1,1,95
RW-1085,Railways,NCC Infrastructure,699.7,787.2,42,25,61.3,38.5,137.2,1,Clear,2,7.7,1,1,95
RW-1086,Railways,Vindhya Powergrid Ltd.,1094.9,1132.1,36,23,59.8,50.9,19.5,1,Pending,1,3.6,0,0,49
RW-1087,Railways,Tata Projects Ltd.,260.5,289.3,36,19,51.3,41.1,18.5,1,Clear,1,15.5,1,0,69
RW-1088,Railways,Himalayan Infra Engineering,1255.4,1356.2,48,10,21.0,6.6,113.7,1,Clear,1,2.9,1,1,76
RW-1089,Railways,Apex Bullet Infra Ltd.,779.6,810.8,36,26,76.5,76.3,20.3,0,Clear,2,2.5,0,0,29
BR-1090,Bridges,Bharat Rail Consortium,675.2,708.4,42,19,47.3,38.6,12.8,0,Pending,1,8.0,0,0,53
NH-1091,Roads,Bharat Rail Consortium,636.3,708.4,42,16,39.2,26.4,89.5,1,Clear,1,15.0,1,1,79
PW-1092,Power,Eastern Rail Infra Pvt. Ltd.,394.6,406.5,24,8,31.9,25.3,72.0,1,Clear,0,8.0,0,0,54
BR-1093,Bridges,Omkar Roadways Ltd.,922.4,941.8,18,4,26.7,23.2,65.1,0,Clear,0,2.2,0,0,29
PW-1094,Power,Tata Projects Ltd.,436.2,451.1,24,5,21.4,14.6,19.1,2,Clear,0,4.3,0,0,43
RW-1095,Railways,Eastern Rail Infra Pvt. Ltd.,474.3,515.9,42,18,43.0,21.1,128.5,2,Clear,0,8.3,1,1,95
RW-1096,Railways,Tata Projects Ltd.,867.3,890.0,36,10,28.8,28.8,12.9,0,Clear,0,-3.5,0,0,20
NH-1097,Roads,Bharat Rail Consortium,853.7,986.5,30,28,95.0,77.9,66.9,2,Clear,3,12.1,1,1,95
RW-1098,Railways,Shivalik Infraprojects Ltd.,562.3,620.1,24,8,35.8,16.2,105.2,2,Pending,1,12.1,1,1,95
PW-1099,Power,Dilip Buildcon Ltd.,609.0,638.5,18,5,22.8,7.5,102.7,2,Clear,0,-5.0,0,1,62
NH-1100,Roads,Patel Engineering,337.0,337.4,36,11,34.1,28.2,22.1,1,Pending,0,-0.5,0,0,32
RW-1101,Railways,Larsen & Toubro Infra,773.0,839.0,36,14,39.5,24.2,100.3,1,Clear,3,-1.2,1,1,66
RW-1102,Railways,Ganga Construction Co.,864.7,923.5,24,12,48.2,33.1,106.1,1,Clear,1,9.2,0,1,77
NH-1103,Roads,Shivalik Infraprojects Ltd.,381.0,421.6,30,11,34.0,20.2,13.2,2,Clear,2,10.0,1,1,76
PW-1104,Power,Larsen & Toubro Infra,1169.8,1273.9,24,20,78.9,64.9,32.5,1,Pending,2,6.2,1,1,70
BR-1105,Bridges,Afcons Infrastructure,547.5,559.1,36,24,67.5,58.9,56.1,0,Pending,0,3.1,0,0,48
BR-1106,Bridges,Ganga Construction Co.,1190.4,1278.2,18,4,23.7,10.6,76.0,1,Pending,0,3.5,0,1,67
RW-1107,Railways,Bharat Rail Consortium,1087.1,1168.1,24,13,52.8,42.0,22.2,2,Pending,1,9.0,0,0,64
BR-1108,Bridges,Bharat Rail Consortium,926.5,1092.4,24,7,31.2,5.7,112.8,0,Disputed,3,5.8,1,1,95
RW-1109,Railways,Eastern Rail Infra Pvt. Ltd.,1161.5,1255.9,36,26,70.8,60.3,27.1,0,Disputed,1,0.1,1,0,58
RW-1110,Railways,Afcons Infrastructure,921.0,937.1,48,32,60.6,54.6,61.8,1,Clear,0,4.1,0,0,42
BR-1111,Bridges,Patel Engineering,416.3,417.7,42,25,60.7,54.8,29.0,0,Pending,0,1.5,0,0,32
NH-1112,Roads,Vindhya Powergrid Ltd.,441.1,454.5,36,28,77.4,76.9,13.4,1,Clear,0,3.1,0,0,27
BR-1113,Bridges,Afcons Infrastructure,761.5,863.1,36,23,61.2,35.7,129.5,0,Disputed,1,7.0,1,1,95
BR-1114,Bridges,Apex Bullet Infra Ltd.,592.6,664.0,18,6,30.0,9.9,28.4,2,Disputed,1,16.4,1,1,95
BR-1115,Bridges,Patel Engineering,1038.0,1117.1,24,14,62.9,48.0,62.4,1,Pending,1,6.9,0,1,74
NH-1116,Roads,Ganga Construction Co.,500.3,508.2,36,7,18.2,7.6,94.6,0,Clear,0,-2.5,0,0,44
BR-1117,Bridges,Omkar Roadways Ltd.,802.2,940.8,18,10,46.7,31.4,32.5,0,Pending,5,6.0,1,1,85
NH-1118,Roads,Omkar Roadways Ltd.,547.6,589.9,60,16,24.1,6.8,17.7,2,Disputed,0,10.7,0,1,87
PW-1119,Power,Apex Bullet Infra Ltd.,1579.6,1867.2,36,7,21.6,8.6,21.5,1,Clear,4,13.2,1,1,79
RW-1120,Railways,Dilip Buildcon Ltd.,453.9,504.1,42,10,24.2,0.4,97.2,0,Disputed,1,1.9,1,1,91
NH-1121,Roads,Apex Bullet Infra Ltd.,880.2,961.8,60,46,79.4,67.5,22.4,0,Pending,3,1.6,1,1,54
RW-1122,Railways,Shivalik Infraprojects Ltd.,786.7,862.7,30,20,58.1,48.5,14.2,1,Clear,3,9.8,1,0,63
NH-1123,Roads,Desert Sun Powergrid JV,749.2,793.8,30,24,79.9,71.6,34.7,1,Clear,2,2.6,0,1,47
NH-1124,Roads,Afcons Infrastructure,918.3,983.2,48,39,85.9,70.8,21.8,2,Pending,0,9.6,0,1,69
RW-1125,Railways,Vindhya Powergrid Ltd.,573.1,634.5,36,17,49.4,37.0,25.3,1,Pending,2,6.9,1,1,68
NH-1126,Roads,Vindhya Powergrid Ltd.,820.6,829.3,24,20,85.2,75.1,26.1,1,Pending,0,2.9,0,1,46
RW-1127,Railways,Tata Projects Ltd.,961.6,1020.1,48,7,13.9,10.1,15.7,1,Clear,1,-0.1,0,0,35
NH-1128,Roads,Dilip Buildcon Ltd.,628.4,679.3,48,18,39.0,25.9,46.9,2,Pending,0,9.4,1,1,74
NH-1129,Roads,Patel Engineering,1534.8,1703.6,36,14,39.9,21.0,11.6,2,Disputed,0,4.0,1,1,84
BR-1130,Bridges,Himalayan Infra Engineering,1014.5,1217.9,48,27,53.9,31.6,32.7,1,Disputed,3,6.1,1,1,95
BR-1131,Bridges,NCC Infrastructure,526.8,552.6,30,8,32.5,19.1,116.0,0,Clear,2,0.8,0,1,63
NH-1132,Roads,Apex Bullet Infra Ltd.,653.7,659.5,18,5,25.5,24.8,25.3,0,Clear,1,-7.3,0,0,21
BR-1133,Bridges,Himalayan Infra Engineering,1266.2,1340.2,24,19,82.9,76.1,32.0,1,Clear,2,2.4,0,0,49
PW-1134,Power,Apex Bullet Infra Ltd.,521.6,521.6,36,14,38.3,32.2,11.5,1,Pending,0,5.7,0,0,38
BR-1135,Bridges,Shivalik Infraprojects Ltd.,627.2,707.9,30,12,39.1,14.6,112.9,2,Pending,1,14.8,1,1,95
BR-1136,Bridges,Afcons Infrastructure,1000.5,1018.1,24,4,10.8,6.2,24.4,0,Clear,1,-0.9,0,0,30
RW-1137,Railways,Tata Projects Ltd.,868.1,954.5,18,11,59.2,47.3,19.6,1,Pending,2,9.7,1,0,74
NH-1138,Roads,Eastern Rail Infra Pvt. Ltd.,2390.9,2668.1,48,20,46.6,42.1,11.8,1,Clear,2,11.3,1,0,63
NH-1139,Roads,Ganga Construction Co.,584.4,611.4,60,35,52.3,49.0,13.7,1,Clear,3,-1.5,0,0,29
PW-1140,Power,Omkar Roadways Ltd.,411.6,432.8,24,22,87.3,80.3,23.5,0,Pending,1,-4.7,0,0,36
NH-1141,Roads,Afcons Infrastructure,563.2,595.1,36,25,71.1,57.8,14.1,1,Disputed,0,2.7,0,1,66
NH-1142,Roads,Dilip Buildcon Ltd.,1040.1,1225.2,36,11,29.7,11.8,23.6,0,Disputed,4,1.5,1,1,90
RW-1143,Railways,Shivalik Infraprojects Ltd.,814.5,897.9,18,17,92.6,79.2,28.9,1,Clear,1,7.9,1,1,70
PW-1144,Power,Afcons Infrastructure,423.9,461.0,48,45,95.0,78.8,105.2,2,Clear,0,6.5,1,1,80
RW-1145,Railways,NCC Infrastructure,1780.5,1953.2,42,18,43.1,20.9,100.5,1,Disputed,0,10.4,1,1,95
RW-1146,Railways,NCC Infrastructure,711.5,808.6,30,14,44.9,27.6,18.7,0,Disputed,4,-6.5,1,1,80
RW-1147,Railways,Dilip Buildcon Ltd.,344.6,377.5,24,19,77.0,62.9,87.5,2,Clear,1,10.9,1,1,81
NH-1148,Roads,Omkar Roadways Ltd.,523.5,565.1,48,25,53.1,37.9,103.2,1,Pending,1,1.5,0,1,69
NH-1149,Roads,Himalayan Infra Engineering,514.6,536.9,24,6,28.4,22.1,50.7,1,Clear,0,2.2,0,0,39
NH-1150,Roads,Tata Projects Ltd.,593.3,659.7,48,39,81.7,51.9,105.0,2,Disputed,1,3.3,1,1,95
NH-1151,Roads,Apex Bullet Infra Ltd.,836.6,925.7,36,26,74.2,48.7,124.9,2,Pending,0,13.6,1,1,95
NH-1152,Roads,Eastern Rail Infra Pvt. Ltd.,766.0,836.4,30,15,50.0,44.2,11.3,1,Clear,3,-0.5,1,0,45
PW-1153,Power,Larsen & Toubro Infra,1694.3,1851.1,42,8,19.9,3.3,28.4,2,Clear,2,7.3,1,1,75
RW-1154,Railways,Ganga Construction Co.,902.2,965.5,42,7,11.6,0.0,13.1,1,Pending,1,-0.1,0,0,53
PW-1155,Power,Desert Sun Powergrid JV,639.9,639.9,42,22,48.8,47.7,31.4,1,Clear,0,1.8,0,0,19
NH-1156,Roads,Eastern Rail Infra Pvt. Ltd.,517.9,560.1,30,13,45.2,33.9,47.5,2,Pending,2,8.2,1,0,71
NH-1157,Roads,Tata Projects Ltd.,664.4,747.8,30,6,22.3,1.6,70.1,1,Pending,1,13.0,1,1,95
RW-1158,Railways,Omkar Roadways Ltd.,485.1,508.3,42,26,62.2,52.0,85.8,1,Clear,0,3.3,0,0,57
RW-1159,Railways,Tata Projects Ltd.,696.0,768.2,48,26,49.7,27.0,82.2,2,Disputed,1,4.8,1,1,95
PW-1160,Power,Vindhya Powergrid Ltd.,352.6,408.5,18,15,81.2,54.0,65.7,2,Disputed,2,10.6,1,1,95
BR-1161,Bridges,Eastern Rail Infra Pvt. Ltd.,343.0,404.2,18,3,17.7,0.0,27.5,1,Disputed,5,8.4,1,1,95
NH-1162,Roads,Himalayan Infra Engineering,1125.9,1224.2,24,14,60.2,46.2,10.2,1,Disputed,0,12.0,1,1,82
RW-1163,Railways,Himalayan Infra Engineering,587.1,587.1,24,11,57.7,57.7,25.9,0,Clear,0,-4.6,0,0,19
BR-1164,Bridges,Larsen & Toubro Infra,300.2,332.2,24,21,88.5,88.2,11.0,0,Clear,3,-2.3,1,0,38
RW-1165,Railways,Afcons Infrastructure,2048.6,2221.1,30,26,86.4,62.9,131.4,2,Pending,0,13.0,1,1,95
RW-1166,Railways,Himalayan Infra Engineering,748.1,819.4,48,27,59.4,46.9,79.9,1,Pending,2,3.3,1,1,71
NH-1167,Roads,Patel Engineering,694.3,741.1,36,7,24.0,17.0,15.1,0,Clear,3,-1.8,0,0,38
RW-1168,Railways,Bharat Rail Consortium,1520.5,1694.4,30,22,70.6,44.0,32.5,2,Disputed,2,10.1,1,1,95
BR-1169,Bridges,Bharat Rail Consortium,796.4,835.1,24,14,58.7,45.4,19.0,2,Pending,0,1.7,0,1,54
PW-1170,Power,NCC Infrastructure,910.6,1027.0,36,26,74.6,52.9,121.5,2,Clear,3,7.7,1,1,95
RW-1171,Railways,NCC Infrastructure,1007.7,1050.1,36,14,43.8,37.7,32.7,0,Pending,0,-13.2,0,0,37
RW-1172,Railways,Larsen & Toubro Infra,722.3,816.0,48,14,27.4,12.6,103.0,1,Clear,3,2.8,1,1,79
RW-1173,Railways,Ganga Construction Co.,656.8,673.8,48,45,92.1,87.7,71.0,0,Clear,0,-3.5,0,0,33
BR-1174,Bridges,Desert Sun Powergrid JV,527.5,600.1,24,12,49.2,31.8,79.9,0,Clear,4,8.2,1,1,87
BR-1175,Bridges,Dilip Buildcon Ltd.,867.1,947.2,18,9,50.5,33.0,55.8,1,Disputed,1,6.5,1,1,82
NH-1176,Roads,Afcons Infrastructure,693.7,806.9,24,16,63.2,48.3,108.4,0,Clear,4,-0.5,1,1,84
RW-1177,Railways,Patel Engineering,1283.4,1353.2,36,18,53.9,39.9,106.3,1,Clear,0,14.7,0,1,79
NH-1178,Roads,Larsen & Toubro Infra,734.1,842.9,30,27,90.8,79.4,31.0,0,Pending,5,-1.9,1,1,69
BR-1179,Bridges,NCC Infrastructure,737.5,780.3,60,20,37.4,36.3,26.8,1,Clear,2,0.6,0,0,30
BR-1180,Bridges,Patel Engineering,895.5,986.9,36,11,32.4,12.3,123.0,1,Pending,0,8.1,1,1,95
NH-1181,Roads,Desert Sun Powergrid JV,1103.8,1189.1,42,23,54.2,44.9,13.6,1,Clear,1,7.1,0,0,51
BR-1182,Bridges,Himalayan Infra Engineering,1013.7,1042.0,42,20,47.7,43.4,72.3,0,Clear,0,4.4,0,0,39
RW-1183,Railways,Afcons Infrastructure,687.3,766.5,24,18,76.7,60.4,31.8,2,Clear,3,10.6,1,1,80
NH-1184,Roads,Larsen & Toubro Infra,649.5,768.9,36,11,28.0,0.0,116.1,2,Disputed,2,17.3,1,1,95
NH-1185,Roads,Patel Engineering,651.7,694.5,36,30,76.8,71.1,29.7,0,Pending,0,9.1,0,0,55
NH-1186,Roads,Bharat Rail Consortium,375.8,411.3,30,10,35.5,29.2,34.0,1,Pending,1,11.0,1,0,65
NH-1187,Roads,Tata Projects Ltd.,907.3,1085.6,18,16,84.7,62.8,97.0,2,Clear,5,3.4,1,1,95
RW-1188,Railways,Eastern Rail Infra Pvt. Ltd.,629.3,661.4,18,10,52.8,44.0,25.7,1,Clear,0,6.3,0,0,48
RW-1189,Railways,Afcons Infrastructure,604.6,628.0,36,29,78.6,77.4,22.1,0,Clear,1,-4.0,0,0,26
BR-1190,Bridges,Larsen & Toubro Infra,660.1,685.7,30,28,92.8,92.8,18.0,0,Clear,0,1.2,0,0,22
RW-1191,Railways,Himalayan Infra Engineering,663.3,669.6,42,19,46.8,44.9,55.0,0,Clear,1,8.5,0,0,37
RW-1192,Railways,Shivalik Infraprojects Ltd.,861.6,992.5,36,10,26.0,2.3,32.3,1,Disputed,2,12.6,1,1,95
RW-1193,Railways,Bharat Rail Consortium,512.2,576.1,30,19,57.0,31.1,25.0,2,Disputed,2,9.7,1,1,95
BR-1194,Bridges,Eastern Rail Infra Pvt. Ltd.,1153.8,1158.0,36,13,37.9,25.7,111.8,0,Clear,0,-2.6,0,1,49
RW-1195,Railways,NCC Infrastructure,671.3,707.6,42,32,80.8,71.3,60.8,0,Pending,0,6.2,0,1,58
PW-1196,Power,Dilip Buildcon Ltd.,386.3,439.1,36,18,48.9,24.0,54.9,1,Disputed,2,7.7,1,1,95
BR-1197,Bridges,Apex Bullet Infra Ltd.,777.0,777.0,42,20,47.3,45.2,12.0,0,Clear,0,3.1,0,0,22
BR-1198,Bridges,Bharat Rail Consortium,1638.0,1763.9,36,22,64.5,47.4,124.5,1,Pending,0,7.2,0,1,78
NH-1199,Roads,Afcons Infrastructure,628.9,705.2,30,27,81.4,69.0,33.7,2,Clear,3,5.7,1,1,71
NH-1200,Roads,Dilip Buildcon Ltd.,859.5,928.8,24,17,68.3,56.7,26.7,2,Clear,0,10.4,1,0,65
RW-1201,Railways,Patel Engineering,801.5,869.8,48,30,63.9,44.9,112.5,0,Pending,0,9.3,1,1,87
NH-1202,Roads,Patel Engineering,429.1,473.0,48,15,32.6,5.6,75.1,2,Disputed,0,9.1,1,1,95
RW-1203,Railways,Patel Engineering,613.9,655.8,30,21,66.0,53.6,77.1,1,Pending,1,4.6,0,1,65
BR-1204,Bridges,Ganga Construction Co.,330.1,354.2,30,12,37.6,33.9,13.2,0,Clear,2,0.3,0,0,35
NH-1205,Roads,Eastern Rail Infra Pvt. Ltd.,1038.4,1164.5,30,23,81.9,76.8,17.8,0,Clear,3,3.4,1,0,48
NH-1206,Roads,Tata Projects Ltd.,1478.1,1781.1,36,28,76.2,45.9,78.0,1,Disputed,5,3.7,1,1,95
RW-1207,Railways,NCC Infrastructure,1537.4,1835.6,24,19,80.7,64.4,27.5,1,Pending,4,12.8,1,1,95
